play_id,character_chosen,first_elite,damage_taken,floor,victory
8d8f81ad-ad4a-4f55-99e8-f04b11dd7904,WATCHER,Lagavulin,0.0,6.0,True
8dbc68a3-c8de-4ae9-aa0b-c0128cc870fa,DEFECT,Gremlin Nob,6.0,8.0,True
8f03ecb9-5799-4282-85c5-3dfe50475118,DEFECT,Gremlin Nob,11.0,7.0,False
8f4f0679-10c8-444a-b62f-f163adb30fd0,WATCHER,Gremlin Nob,0.0,11.0,True
905efa62-be47-4806-a8b3-bd1502fd3215,THE_SILENT,Gremlin Nob,6.0,11.0,True
90c31d4c-0648-4e2d-80cc-2a74ade22fab,IRONCLAD,Lagavulin,15.0,6.0,False
90dcded9-bb9b-49b0-8c41-49a5cc77fc89,IRONCLAD,Gremlin Nob,21.0,11.0,True
91344672-2d01-47c6-b74e-712cb4bb5ed3,WATCHER,Lagavulin,0.0,6.0,True
91aafad0-919b-46a8-8442-7a88320d14de,IRONCLAD,Lagavulin,18.0,11.0,False
91ebdae5-8256-4994-8d2e-4cb1d6f93145,IRONCLAD,Gremlin Nob,11.0,7.0,True
91ed5e82-e89c-437f-9df9-c7a239544ced,DEFECT,3 Sentries,18.0,6.0,True
932ad893-58b6-46d9-8c77-3b05cb71b3cd,IRONCLAD,3 Sentries,0.0,6.0,True
93840920-17e6-4685-a364-9d3bb3cea3dd,DEFECT,Gremlin Nob,0.0,6.0,True
9411cd7c-5360-42d8-926d-c8b574bca689,DEFECT,3 Sentries,15.0,6.0,False
95881b15-ef78-4e11-9c49-3a7733029ecb,THE_SILENT,3 Sentries,2.0,7.0,True
95a41da3-6bd7-4468-ae00-8e979d61f2fb,DEFECT,3 Sentries,22.0,7.0,False
962d9d35-1bec-4ed2-ba49-fc51688822e8,THE_SILENT,Lagavulin,30.0,6.0,False
967923be-ebea-4cd3-82e6-afbb8bd9d96a,DEFECT,Gremlin Nob,23.0,11.0,False
96f20743-98f7-42c2-8530-6c2deb0fedc9,WATCHER,3 Sentries,22.0,7.0,True
96fe77cc-66ac-43ba-a42b-b73a48f428e6,THE_SILENT,Gremlin Nob,36.0,10.0,False
97322c61-7f98-4ddf-9c7a-59735da27f40,DEFECT,Gremlin Nob,8.0,7.0,True
97f7ea20-bfbf-4594-af84-bb29becc2911,DEFECT,3 Sentries,18.0,6.0,False
987ed110-7ab1-47d8-b1fb-52738308941b,IRONCLAD,Lagavulin,47.0,6.0,False
